theme,status,sources,total_hits
root_transport_clutter,CONFIRMED_BY_MULTIPLE_AUDITORS,GROK-REALITY-HYGIENE-EXTERNAL-0001;SERVITOR-REALITY-HYGIENE-EXTERNAL-0001,155
validator_readonly_mode,CONFIRMED_BY_MULTIPLE_AUDITORS,GROK-REALITY-HYGIENE-EXTERNAL-0001;SERVITOR-REALITY-HYGIENE-EXTERNAL-0001,19
population_census_refresh,SINGLE_SOURCE_NEEDS_RECHECK,GROK-REALITY-HYGIENE-EXTERNAL-0001,5
governance_reconciliation,CONFIRMED_BY_MULTIPLE_AUDITORS,GROK-REALITY-HYGIENE-EXTERNAL-0001;SERVITOR-REALITY-HYGIENE-EXTERNAL-0001,644
great_nine_operational_proof,CONFIRMED_BY_MULTIPLE_AUDITORS,GROK-REALITY-HYGIENE-EXTERNAL-0001;SERVITOR-REALITY-HYGIENE-EXTERNAL-0001,75
great_nine_trust_proof,CONFIRMED_BY_MULTIPLE_AUDITORS,GROK-REALITY-HYGIENE-EXTERNAL-0001;SERVITOR-REALITY-HYGIENE-EXTERNAL-0001,498
no_core_mutation_proof,CONFIRMED_BY_MULTIPLE_AUDITORS,GROK-REALITY-HYGIENE-EXTERNAL-0001;SERVITOR-REALITY-HYGIENE-EXTERNAL-0001,13
score_contract,CONFIRMED_BY_MULTIPLE_AUDITORS,GROK-REALITY-HYGIENE-EXTERNAL-0001;SERVITOR-REALITY-HYGIENE-EXTERNAL-0001,100
scope_control,SINGLE_SOURCE_NEEDS_RECHECK,GROK-REALITY-HYGIENE-EXTERNAL-0001,2
score_conflict:root_hygiene_score,SCORE_CONFLICT_REQUIRES_NORMALIZATION,GROK-REALITY-HYGIENE-EXTERNAL-0001=42.0;GROK-REALITY-HYGIENE-EXTERNAL-0001=24.0;SERVITOR-REALITY-HYGIENE-EXTERNAL-0001=28.1,3
score_conflict:warp_patch_hygiene_score,SCORE_CONFLICT_REQUIRES_NORMALIZATION,GROK-REALITY-HYGIENE-EXTERNAL-0001=52.0;GROK-REALITY-HYGIENE-EXTERNAL-0001=12.0;SERVITOR-REALITY-HYGIENE-EXTERNAL-0001=38.0,3
score_conflict:organ_profile_baseline_score,SCORE_CONFLICT_REQUIRES_NORMALIZATION,GROK-REALITY-HYGIENE-EXTERNAL-0001=78.0;SERVITOR-REALITY-HYGIENE-EXTERNAL-0001=100.0,2
score_conflict:organ_structural_score,SCORE_CONFLICT_REQUIRES_NORMALIZATION,GROK-REALITY-HYGIENE-EXTERNAL-0001=72.0;GROK-REALITY-HYGIENE-EXTERNAL-0001=718.0,2
score_conflict:throne_measurement_quality_score,SCORE_CONFLICT_REQUIRES_NORMALIZATION,GROK-REALITY-HYGIENE-EXTERNAL-0001=58.0;GROK-REALITY-HYGIENE-EXTERNAL-0001=97.0;SERVITOR-REALITY-HYGIENE-EXTERNAL-0001=62.0,3
score_conflict:no_core_mutation_evidence_score,SCORE_CONFLICT_REQUIRES_NORMALIZATION,GROK-REALITY-HYGIENE-EXTERNAL-0001=12.0;GROK-REALITY-HYGIENE-EXTERNAL-0001=0.0;SERVITOR-REALITY-HYGIENE-EXTERNAL-0001=35.0,3
