organ_id,status,profile_baseline_score,duty_defined_score,assembly_target_defined_score,rule_validated_score,action_proven_score,trust_proven_score,throne_confirmed_score,organ_assembled_score,red_team_score,blue_team_score,organ_truth_maturity_score,error_count
ASTRONOMICON,PASS,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
ADMINISTRATUM,PASS,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
DOCTRINARIUM,PASS,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
MECHANICUS,PASS,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
INQUISITION,PASS,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
CUSTODES,PASS,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
STRATEGIUM,PASS,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
SCHOLA_IMPERIALIS,PASS,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
OFFICIO_AGENTIS,PASS,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
THRONE,PASS,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
