organ_id,exists,organ_readiness_score,schemas,validators,receipts,reports,missing_slots,major_gaps
THRONE,True,97.0,9,6,8,10,,has WARP-status residents; has negative-example residents
ASTRONOMICON,True,67.19,39,1,167,130,README.md; MANIFEST.json; FUNCTIONS.md; SCHEMAS; VALIDATORS; RECEIPTS; TUI; DASHBOARDS; EYES; LESSONS; NEGATIVE_LESSONS,missing README.md; missing MANIFEST.json; missing FUNCTIONS.md; has quarantine residents; has negative-example residents
ADMINISTRATUM,True,58.44,30,0,257,134,README.md; MANIFEST.json; FUNCTIONS.md; SCHEMAS; VALIDATORS; RECEIPTS; TUI; DASHBOARDS; EYES; LESSONS; NEGATIVE_LESSONS,missing README.md; missing MANIFEST.json; missing FUNCTIONS.md; no validator evidence; has quarantine residents; has negative-example residents
DOCTRINARIUM,True,50.52,1,0,4,2,README.md; MANIFEST.json; FUNCTIONS.md; VALIDATORS; RECEIPTS; REPORTS; TUI; DASHBOARDS; EYES; LESSONS; NEGATIVE_LESSONS,missing README.md; missing MANIFEST.json; missing FUNCTIONS.md; no validator evidence; has negative-example residents
MECHANICUS,True,60.31,23,0,131,160,MANIFEST.json; FUNCTIONS.md; VALIDATORS; RECEIPTS; TUI; DASHBOARDS; EYES; LESSONS; NEGATIVE_LESSONS,missing MANIFEST.json; missing FUNCTIONS.md; no validator evidence; has quarantine residents; has negative-example residents
INQUISITION,True,51.77,1,0,35,68,README.md; MANIFEST.json; FUNCTIONS.md; SCHEMAS; VALIDATORS; RECEIPTS; TUI; DASHBOARDS; EYES; LESSONS; NEGATIVE_LESSONS,missing README.md; missing MANIFEST.json; missing FUNCTIONS.md; no validator evidence; has quarantine residents; has negative-example residents
CUSTODES,True,43.44,0,0,9,0,README.md; MANIFEST.json; FUNCTIONS.md; MATRICES; SCHEMAS; VALIDATORS; RECEIPTS; REPORTS; TESTS; TUI; DASHBOARDS; EYES; BLOCK; LESSONS; NEGATIVE_LESSONS,missing README.md; missing MANIFEST.json; missing FUNCTIONS.md; no schema evidence; no validator evidence; has quarantine residents
STRATEGIUM,True,55.31,3,0,12,2,README.md; MANIFEST.json; FUNCTIONS.md; SCHEMAS; VALIDATORS; RECEIPTS; REPORTS; TESTS; TUI; DASHBOARDS; EYES; LESSONS; NEGATIVE_LESSONS,missing README.md; missing MANIFEST.json; missing FUNCTIONS.md; no validator evidence; has quarantine residents; has negative-example residents
SCHOLA_IMPERIALIS,True,39.58,0,0,1,0,README.md; MANIFEST.json; FUNCTIONS.md; SCHEMAS; VALIDATORS; RECEIPTS; REPORTS; TESTS; TUI; DASHBOARDS; EYES; NEGATIVE_LESSONS,missing README.md; missing MANIFEST.json; missing FUNCTIONS.md; no schema evidence; no validator evidence
OFFICIO_AGENTIS,True,38.65,0,0,1,0,README.md; MANIFEST.json; FUNCTIONS.md; SCHEMAS; VALIDATORS; RECEIPTS; REPORTS; TESTS; TUI; DASHBOARDS; EYES; LESSONS; NEGATIVE_LESSONS,missing README.md; missing MANIFEST.json; missing FUNCTIONS.md; no schema evidence; no validator evidence
