imperium_id,kind,class,status,owner_candidate,root_zone,organ_group,path,name,extension,bytes,sha256,encoding_status,encoding_error
imp:file:root_config:editorconfig:626a747c8694,FILE,ROOT_CONFIG,ACTIVE,MECHANICUS,ROOT,,.editorconfig,.editorconfig,,248,fce734ce283bea382de0a08381bad5e683eb264478717678f10785ab7b62b14a,NOT_TEXT,
imp:file:root_config:gitattributes:24139dae6567,FILE,ROOT_CONFIG,ACTIVE,MECHANICUS,ROOT,,.gitattributes,.gitattributes,,405,ac7c2dc3ec2015a1e26ec4cf9a5d8a7f7b7e24023b6f993c472993e06d42e3d5,NOT_TEXT,
imp:file:root_config:gitignore:a5cc2925ca82,FILE,ROOT_CONFIG,ACTIVE,MECHANICUS,ROOT,,.gitignore,.gitignore,,3253,8f1f94fa6beabe1c7598823669388981fe68a7fe2dbd521a5cd8391aaa022b3d,NOT_TEXT,
imp:file:backup:applied_files:2db222b43910,FILE,BACKUP,ACTIVE,UNKNOWN,.imperium_patch_backups,,.imperium_patch_backups/IMPERIUM_H_PATCH_V0_8_9_2_SEALER_OUTPUT_CONTRACT/APPLIED_FILES.txt,APPLIED_FILES.txt,.txt,1075,cbc93c3a5ef631eb47d5c9a2959ad2a242319476cc9c0a003b288945167f3d46,UTF8_OK,
imp:file:backup:data_atlas_sealed_pack_health_card_v0_1_ru_md:46ffef3b133f,FILE,BACKUP,ACTIVE,ADMINISTRATUM,.imperium_patch_backups,,.imperium_patch_backups/IMPERIUM_H_PATCH_V0_8_9_2_SEALER_OUTPUT_CONTRACT/ORGANS/ADMINISTRATUM/DATA_ATLAS/EVIDENCE_VAULT/DATA_ATLAS_SEALED_PACK_HEALTH_CARD_V0_1_RU.md.newfile,DATA_ATLAS_SEALED_PACK_HEALTH_CARD_V0_1_RU.md.newfile,.newfile,23,4b288e73115fd6acc0e5cb26b1225d0f3638e24615a49fc880ac0a3f792105f9,NOT_TEXT,
imp:file:backup:sealed_pack_health_card_v0_1_json:30cef3f017c7,FILE,BACKUP,ACTIVE,ADMINISTRATUM,.imperium_patch_backups,,.imperium_patch_backups/IMPERIUM_H_PATCH_V0_8_9_2_SEALER_OUTPUT_CONTRACT/ORGANS/ADMINISTRATUM/DATA_ATLAS/EVIDENCE_VAULT/sealed_pack_health_card_v0_1.json.newfile,sealed_pack_health_card_v0_1.json.newfile,.newfile,23,4b288e73115fd6acc0e5cb26b1225d0f3638e24615a49fc880ac0a3f792105f9,NOT_TEXT,
imp:file:doctrine:storage_index_graph_doctrine_v0_1_md:6e339a2972ab,FILE,DOCTRINE,ACTIVE,DOCTRINARIUM,.imperium_patch_backups,,.imperium_patch_backups/IMPERIUM_H_PATCH_V0_8_9_2_SEALER_OUTPUT_CONTRACT/ORGANS/DOCTRINARIUM/LAWS/STORAGE_INDEX_GRAPH_DOCTRINE_V0_1.md.newfile,STORAGE_INDEX_GRAPH_DOCTRINE_V0_1.md.newfile,.newfile,23,4b288e73115fd6acc0e5cb26b1225d0f3638e24615a49fc880ac0a3f792105f9,NOT_TEXT,
imp:file:contract:evidence_sealer_contract_gate_policy_v0_1_json:119d66544394,FILE,CONTRACT,ACTIVE,INQUISITION,.imperium_patch_backups,,.imperium_patch_backups/IMPERIUM_H_PATCH_V0_8_9_2_SEALER_OUTPUT_CONTRACT/ORGANS/INQUISITION/EVIDENCE_GUARD/evidence_sealer_contract_gate_policy_v0_1.json.newfile,evidence_sealer_contract_gate_policy_v0_1.json.newfile,.newfile,23,4b288e73115fd6acc0e5cb26b1225d0f3638e24615a49fc880ac0a3f792105f9,NOT_TEXT,
imp:file:backup:inquisition_evidence_seal_gate_v0_1_ru:0364a77bdf05,FILE,BACKUP,ACTIVE,INQUISITION,.imperium_patch_backups,,.imperium_patch_backups/IMPERIUM_H_PATCH_V0_8_9_2_SEALER_OUTPUT_CONTRACT/ORGANS/INQUISITION/EVIDENCE_GUARD/INQUISITION_EVIDENCE_SEAL_GATE_V0_1_RU.md,INQUISITION_EVIDENCE_SEAL_GATE_V0_1_RU.md,.md,666,157b290aa8f757bea358bf14d817bb929ed6bbdb5f1f9978948793ac454030bf,UTF8_OK,
imp:file:contract:inquisition_evidence_sealer_contract_gate_v0_1_py:55114b3177f0,FILE,CONTRACT,ACTIVE,INQUISITION,.imperium_patch_backups,,.imperium_patch_backups/IMPERIUM_H_PATCH_V0_8_9_2_SEALER_OUTPUT_CONTRACT/ORGANS/INQUISITION/REPORTING/inquisition_evidence_sealer_contract_gate_v0_1.py.newfile,inquisition_evidence_sealer_contract_gate_v0_1.py.newfile,.newfile,23,4b288e73115fd6acc0e5cb26b1225d0f3638e24615a49fc880ac0a3f792105f9,NOT_TEXT,
